Id,wavelength,irradiance
1,1000.0,3.9895e-07
2,909.091,4.38845e-07
3,833.333,4.7874e-07
4,769.231,5.18635e-07
5,714.286,5.5853e-07
6,666.667,5.98425e-07
7,625.0,6.3832e-07
8,588.235,6.78215e-07
9,555.556,7.1811e-07
10,526.316,7.58005e-07
11,500.0,7.979e-07
12,476.19,8.37795e-07
13,454.545,8.7769e-07
14,434.783,9.17585e-07
15,416.667,9.5748e-07
16,400.0,9.97375e-07
17,384.615,1.03727e-06
18,370.37,1.07717e-06
19,357.143,1.11706e-06
20,344.828,1.15696e-06
21,333.333,1.19685e-06
22,322.581,1.23675e-06
23,312.5,1.27664e-06
24,303.03,1.31654e-06
25,294.118,1.35643e-06
26,285.714,1.39633e-06
27,277.778,1.43622e-06
28,270.27,1.47612e-06
29,263.158,1.51601e-06
30,256.41,1.55591e-06
31,250.0,1.5958e-06
32,243.902,1.6357e-06
33,238.095,1.67559e-06
34,232.558,1.71549e-06
35,227.273,1.75538e-06
36,222.222,1.79528e-06
37,217.391,1.83517e-06
38,212.766,1.87507e-06
39,208.333,1.91496e-06
40,204.082,1.95486e-06
41,200.0,1.99475e-06
42,196.078,2.07534e-06
43,192.308,2.15752e-06
44,188.679,2.2413e-06
45,185.185,2.40483e-06
46,181.818,2.5773e-06
47,178.571,2.75905e-06
48,175.439,2.95074e-06
49,172.414,3.15207e-06
50,169.492,3.36369e-06
51,166.667,3.58632e-06
52,163.934,3.82147e-06
53,161.29,4.06311e-06
54,158.73,4.32224e-06
55,156.25,4.59162e-06
56,153.846,4.87143e-06
57,151.515,5.16622e-06
58,149.254,5.47209e-06
59,147.059,5.79387e-06
60,144.928,6.13217e-06
61,142.857,6.4827e-06
62,140.845,6.84568e-06
63,138.889,7.2265e-06
64,136.986,7.6258e-06
65,135.135,8.03877e-06
66,133.333,8.46563e-06
67,131.579,8.91237e-06
68,129.87,9.37968e-06
69,128.205,9.86216e-06
70,126.582,1.03601e-05
71,125.0,1.088e-05
72,123.457,1.14227e-05
73,121.951,1.19822e-05
74,120.482,1.25655e-05
75,119.048,1.31665e-05
76,117.647,1.37853e-05
77,116.279,1.44296e-05
78,114.943,1.51002e-05
79,113.636,1.579e-05
80,112.36,1.65074e-05
81,111.111,1.72449e-05
82,109.89,1.80029e-05
83,108.696,1.87985e-05
84,107.527,1.96073e-05
85,106.383,2.04553e-05
86,105.263,2.13171e-05
87,104.167,2.22198e-05
88,103.093,2.31367e-05
89,102.041,2.40964e-05
90,101.01,2.5071e-05
91,100.0,2.608e-05
92,99.0099,2.71245e-05
93,98.0392,2.81844e-05
94,97.0874,2.92914e-05
95,96.1538,3.04254e-05
96,95.2381,3.15977e-05
97,94.3396,3.27979e-05
98,93.4579,3.40264e-05
99,92.5926,3.52953e-05
100,91.7431,3.66054e-05
101,90.9091,3.79456e-05
102,90.0901,3.93163e-05
103,89.2857,4.07304e-05
104,88.4956,4.21888e-05
105,87.7193,4.36796e-05
106,86.9565,4.52163e-05
107,86.2069,4.67865e-05
108,85.4701,4.83906e-05
109,84.7458,5.00429e-05
110,84.0336,5.17443e-05
111,83.3333,5.34816e-05
112,82.6446,5.52698e-05
113,81.9672,5.7095e-05
114,81.3008,5.89728e-05
115,80.6452,6.0889e-05
116,80.0,6.28438e-05
117,79.3651,6.48535e-05
118,78.7402,6.69192e-05
119,78.125,6.90258e-05
120,77.5194,7.11902e-05
121,76.9231,7.33967e-05
122,76.3359,7.56628e-05
123,75.7576,7.79724e-05
124,75.188,8.03434e-05
125,74.6269,8.27592e-05
126,74.0741,8.52383e-05
127,73.5294,8.77635e-05
128,72.9927,9.0354e-05
129,72.4638,9.29919e-05
130,71.9424,9.56969e-05
131,71.4286,9.84704e-05
132,70.922,0.000101274
133,70.4225,0.000104167
134,69.9301,0.000107091
135,69.4444,0.000110108
136,68.9655,0.000113157
137,68.4932,0.0001163
138,68.0272,0.000119498
139,67.5676,0.00012275
140,67.1141,0.000126079
141,66.6667,0.000129465
142,66.2252,0.00013293
143,65.7895,0.000136475
144,65.3595,0.000140079
145,64.9351,0.000143743
146,64.5161,0.000147489
147,64.1026,0.000151297
148,63.6943,0.00015519
149,63.2911,0.00015917
150,62.8931,0.000163189
151,62.5,0.000167322
152,62.1118,0.000171519
153,61.7284,0.000175809
154,61.3497,0.000180164
155,60.9756,0.000184587
156,60.6061,0.000189105
157,60.241,0.000193719
158,59.8802,0.000198374
159,59.5238,0.000203156
160,59.1716,0.00020801
161,58.8235,0.000212964
162,58.4795,0.000217992
163,58.1395,0.000223123
164,57.8035,0.000228328
165,57.4713,0.00023361
166,57.1429,0.000238998
167,56.8182,0.000244494
168,56.4972,0.000250037
169,56.1798,0.000255722
170,55.8659,0.000261487
171,55.5556,0.000267365
172,55.2486,0.000273325
173,54.9451,0.000279401
174,54.6448,0.000285561
175,54.3478,0.000291805
176,54.0541,0.000298168
177,53.7634,0.000304652
178,53.4759,0.000311224
179,53.1915,0.000317919
180,52.9101,0.000324704
181,52.6316,0.000331615
182,52.356,0.000338617
183,52.0833,0.000345747
184,51.8135,0.000352972
185,51.5464,0.000360289
186,51.2821,0.000367778
187,51.0204,0.000375324
188,50.7614,0.000383045
189,50.5051,0.000390864
190,50.2513,0.000398782
191,50.0,0.0004068
192,49.7512,0.000414918
193,49.505,0.000423137
194,49.2611,0.000431458
195,49.0196,0.000440297
196,48.7805,0.000448827
197,48.5437,0.000457884
198,48.3092,0.000466626
199,48.0769,0.000475904
200,47.8469,0.000485296
201,47.619,0.000494361
202,47.3934,0.000503978
203,47.1698,0.00051371
204,46.9484,0.000523105
205,46.729,0.000533065
206,46.5116,0.000543144
207,46.2963,0.00055334
208,46.0829,0.000563655
209,45.8716,0.00057409
210,45.6621,0.000584645
211,45.4545,0.00059532
212,45.2489,0.000606605
213,45.045,0.000617529
214,44.843,0.000628575
215,44.6429,0.000639744
216,44.4444,0.000651544
217,44.2478,0.000662966
218,44.0529,0.00067503
219,43.8596,0.000686709
220,43.6681,0.000699039
221,43.4783,0.000710976
222,43.29,0.000723575
223,43.1034,0.000736312
224,42.9185,0.000749188
225,42.735,0.000762204
226,42.5532,0.000775359
227,42.3729,0.000788655
228,42.1941,0.000801532
229,42.0168,0.000815107
230,41.841,0.000828826
231,41.6667,0.000843264
232,41.4938,0.000857276
233,41.3223,0.000871432
234,41.1523,0.000885735
235,40.9836,0.000900184
236,40.8163,0.000915381
237,40.6504,0.000930131
238,40.4858,0.00094564
239,40.3226,0.000961308
240,40.1606,0.000976516
241,40.0,0.0009925
242,39.8406,0.00100865
243,39.6825,0.00102432
244,39.5257,0.00104079
245,39.3701,0.00105742
246,39.2157,0.00107421
247,39.0625,0.00109052
248,38.9105,0.00110764
249,38.7597,0.00112493
250,38.61,0.00114239
251,38.4615,0.00116069
252,38.3142,0.00117849
253,38.1679,0.00119715
254,38.0228,0.0012153
255,37.8788,0.00123362
256,37.7358,0.00125281
257,37.594,0.00127149
258,37.4532,0.00129033
259,37.3134,0.00131007
260,37.1747,0.00132927
261,37.037,0.00134938
262,36.9004,0.00136894
263,36.7647,0.00138942
264,36.63,0.00141009
265,36.4964,0.00143095
266,36.3636,0.001452
267,36.2319,0.00147324
268,36.1011,0.00149468
269,35.9712,0.00151631
270,35.8423,0.00153814
271,35.7143,0.00156016
272,35.5872,0.00158238
273,35.461,0.00160559
274,35.3357,0.00162821
275,35.2113,0.00165103
276,35.0877,0.00167486
277,34.965,0.00169808
278,34.8432,0.00172234
279,34.7222,0.0017468
280,34.6021,0.00177065
281,34.4828,0.00179554
282,34.3643,0.00181979
283,34.2466,0.00184511
284,34.1297,0.00187065
285,34.0136,0.00189554
286,33.8983,0.00192151
287,33.7838,0.0019477
288,33.67,0.00197412
289,33.557,0.00200075
290,33.4448,0.00202761
291,33.3333,0.0020547
292,33.2226,0.00208292
293,33.1126,0.00211046
294,33.0033,0.00213823
295,32.8947,0.00216716
296,32.7869,0.00219539
297,32.6797,0.00222386
298,32.5733,0.00225349
299,32.4675,0.00228243
300,32.3625,0.00231255
301,32.2581,0.00234196
302,32.1543,0.00237257
303,32.0513,0.00240342
304,31.9489,0.00243453
305,31.8471,0.00246589
306,31.746,0.00249749
307,31.6456,0.00252935
308,31.5457,0.00256046
309,31.4465,0.00259282
310,31.348,0.00262543
311,31.25,0.0026583
312,31.1526,0.00269246
313,31.0559,0.00272585
314,30.9598,0.0027595
315,30.8642,0.00279341
316,30.7692,0.00282864
317,30.6748,0.00286308
318,30.581,0.00289885
319,30.4878,0.00293489
320,30.3951,0.00297013
321,30.303,0.00300673
322,30.2115,0.00304251
323,30.1205,0.00307966
324,30.03,0.00311598
325,29.9401,0.00315369
326,29.8507,0.00319168
327,29.7619,0.00322995
328,29.6736,0.00326852
329,29.5858,0.00330736
330,29.4985,0.0033465
331,29.4118,0.00338708
332,29.3255,0.0034268
333,29.2398,0.00346681
334,29.1545,0.00350712
335,29.0698,0.00354771
336,28.9855,0.0035886
337,28.9017,0.00363099
338,28.8184,0.00367247
339,28.7356,0.00371547
340,28.6533,0.00375756
341,28.5714,0.00380118
342,28.49,0.00384387
343,28.4091,0.00388811
344,28.3286,0.00393266
345,28.2486,0.00397753
346,28.169,0.00402272
347,28.0899,0.00406823
348,28.0112,0.00411405
349,27.933,0.00415892
350,27.8552,0.00420539
351,27.7778,0.00425218
352,27.7008,0.00429929
353,27.6243,0.00434673
354,27.5482,0.00439581
355,27.4725,0.00444392
356,27.3973,0.00449368
357,27.3224,0.00454245
358,27.248,0.00459289
359,27.1739,0.00464233
360,27.1003,0.00469347
361,27.027,0.00474359
362,26.9542,0.00479541
363,26.8817,0.00484621
364,26.8097,0.00489873
365,26.738,0.00495161
366,26.6667,0.00500344
367,26.5957,0.00505702
368,26.5252,0.00511096
369,26.455,0.00516526
370,26.3852,0.00521991
371,26.3158,0.00527638
372,26.2467,0.00533176
373,26.178,0.00538751
374,26.1097,0.00544363
375,26.0417,0.00550011
376,25.974,0.00555844
377,25.9067,0.00561566
378,25.8398,0.00567325
379,25.7732,0.00573121
380,25.7069,0.00579105
381,25.641,0.00584977
382,25.5754,0.00591038
383,25.5102,0.00597138
384,25.4453,0.00603123
385,25.3807,0.00609301
386,25.3165,0.00615519
387,25.2525,0.00621775
388,25.1889,0.00628072
389,25.1256,0.00634408
390,25.0627,0.00640784
391,25.0,0.006472
392,24.9377,0.00653656
393,24.8756,0.00660152
394,24.8139,0.00666689
395,24.7525,0.00673266
396,24.6914,0.00680048
397,24.6305,0.00686707
398,24.57,0.00693572
399,24.5098,0.00700314
400,24.4499,0.00707264
401,24.3902,0.00714089
402,24.3309,0.00721124
403,24.2718,0.00728032
404,24.2131,0.00735152
405,24.1546,0.00742145
406,24.0964,0.00749351
407,24.0385,0.00756601
408,23.9808,0.00763894
409,23.9234,0.00771232
410,23.8663,0.00778613
411,23.8095,0.00786038
412,23.753,0.00793508
413,23.6967,0.00801022
414,23.6407,0.0080858
415,23.5849,0.00816183
416,23.5294,0.00823831
417,23.4742,0.00831705
418,23.4192,0.00839443
419,23.3645,0.00847409
420,23.31,0.00855239
421,23.2558,0.00863298
422,23.2019,0.00871219
423,23.1481,0.00879372
424,23.0947,0.00887385
425,23.0415,0.00895633
426,22.9885,0.00903928
427,22.9358,0.00912081
428,22.8833,0.00920471
429,22.8311,0.00928909
430,22.779,0.00937588
431,22.7273,0.00946123
432,22.6757,0.00954707
433,22.6244,0.0096334
434,22.5734,0.00972021
435,22.5225,0.00980752
436,22.4719,0.00989531
437,22.4215,0.00998359
438,22.3714,0.0100724
439,22.3214,0.0101616
440,22.2717,0.0102534
441,22.2222,0.0103457
442,22.1729,0.0104385
443,22.1239,0.0105298
444,22.0751,0.0106237
445,22.0264,0.010716
446,21.978,0.0108108
447,21.9298,0.0109042
448,21.8818,0.0110001
449,21.8341,0.0110965
450,21.7865,0.0111935
451,21.7391,0.011291
452,21.692,0.011389
453,21.645,0.0114876
454,21.5983,0.0115866
455,21.5517,0.0116863
456,21.5054,0.0117864
457,21.4592,0.0118893
458,21.4133,0.0119905
459,21.3675,0.0120923
460,21.322,0.0121968
461,21.2766,0.0122997
462,21.2314,0.0124053
463,21.1864,0.0125093
464,21.1416,0.0126161
465,21.097,0.0127212
466,21.0526,0.012829
467,21.0084,0.0129352
468,20.9644,0.0130442
469,20.9205,0.0131538
470,20.8768,0.013264
471,20.8333,0.0133747
472,20.79,0.013486
473,20.7469,0.0135979
474,20.7039,0.0137104
475,20.6612,0.0138234
476,20.6186,0.0139371
477,20.5761,0.0140513
478,20.5339,0.0141685
479,20.4918,0.0142839
480,20.4499,0.0144023
481,20.4082,0.0145188
482,20.3666,0.0146384
483,20.3252,0.0147562
484,20.284,0.0148746
485,20.2429,0.014996
486,20.202,0.0151156
487,20.1613,0.0152382
488,20.1207,0.0153615
489,20.0803,0.0154878
490,20.0401,0.0156124
491,20.0,0.0157375
492,19.9601,0.0158658
493,19.9203,0.0159922
494,19.8807,0.0161192
495,19.8413,0.0162469
496,19.802,0.0163752
497,19.7628,0.0165041
498,19.7239,0.0166362
499,19.685,0.0167664
500,19.6464,0.0168999
501,19.6078,0.0170313
502,19.5695,0.0171635
503,19.5312,0.0172989
504,19.4932,0.0174323
505,19.4553,0.017569
506,19.4175,0.0177064
507,19.3798,0.0178418
508,19.3424,0.0179805
509,19.305,0.0181199
510,19.2678,0.01826
511,19.2308,0.018398
512,19.1939,0.0185394
513,19.1571,0.0186815
514,19.1205,0.0188188
515,19.084,0.0189622
516,19.0476,0.0191063
517,19.0114,0.0192511
518,18.9753,0.0193994
519,18.9394,0.0195511
520,18.9036,0.019698
521,18.8679,0.0198484
522,18.8324,0.0199967
523,18.797,0.0201456
524,18.7617,0.0202982
525,18.7266,0.0204485
526,18.6916,0.0206025
527,18.6567,0.0207571
528,18.622,0.0209096
529,18.5874,0.0210657
530,18.5529,0.0212226
531,18.5185,0.0213801
532,18.4843,0.0215355
533,18.4502,0.0216945
534,18.4162,0.0218542
535,18.3824,0.0220147
536,18.3486,0.0221759
537,18.315,0.0223378
538,18.2815,0.0225035
539,18.2482,0.0226669
540,18.2149,0.0228311
541,18.1818,0.0229961
542,18.1488,0.0231648
543,18.1159,0.0233312
544,18.0832,0.0235014
545,18.0505,0.0236694
546,18.018,0.0238381
547,17.9856,0.0240106
548,17.9533,0.0241839
549,17.9211,0.0243549
550,17.8891,0.0245298
551,17.8571,0.0247054
552,17.8253,0.0248818
553,17.7936,0.0250591
554,17.762,0.0252339
555,17.7305,0.0254127
556,17.6991,0.0255923
557,17.6678,0.0257726
558,17.6367,0.0259538
559,17.6056,0.0261358
560,17.5747,0.0263218
561,17.5439,0.0265053
562,17.5131,0.0266897
563,17.4825,0.0268782
564,17.452,0.0270642
565,17.4216,0.0272543
566,17.3913,0.0274419
567,17.3611,0.0276336
568,17.331,0.0278229
569,17.301,0.0280163
570,17.2712,0.0282072
571,17.2414,0.0284023
572,17.2117,0.0285982
573,17.1821,0.0287915
574,17.1527,0.0289891
575,17.1233,0.0291876
576,17.094,0.0293869
577,17.0648,0.029587
578,17.0358,0.029788
579,17.0068,0.0299933
580,16.9779,0.030196
581,16.9492,0.0303996
582,16.9205,0.030604
583,16.8919,0.0308093
584,16.8634,0.0310154
585,16.835,0.0312225
586,16.8067,0.0314339
587,16.7785,0.0316462
588,16.7504,0.0318558
589,16.7224,0.0320699
590,16.6945,0.0322813
591,16.6667,0.0324972
592,16.6389,0.032714
593,16.6113,0.0329317
594,16.5837,0.0331466
595,16.5563,0.0333661
596,16.5289,0.0335865
597,16.5017,0.0338077
598,16.4745,0.0340299
599,16.4474,0.0342531
600,16.4204,0.0344771
601,16.3934,0.034702
602,16.3666,0.0349279
603,16.3399,0.0351547
604,16.3132,0.0353862
605,16.2866,0.0356148
606,16.2602,0.0358406
607,16.2338,0.0360711
608,16.2075,0.0363063
609,16.1812,0.0365387
610,16.1551,0.0367758
611,16.129,0.0370139
612,16.1031,0.0372529
613,16.0772,0.0374929
614,16.0514,0.0377339
615,16.0256,0.0379758
616,16.0,0.0382188
617,15.9744,0.0384587
618,15.949,0.0387036
619,15.9236,0.0389494
620,15.8983,0.0391962
621,15.873,0.0394439
622,15.8479,0.0396927
623,15.8228,0.0399424
624,15.7978,0.0401891
625,15.7729,0.0404368
626,15.748,0.0407257
627,15.7233,0.0409754
628,15.6986,0.0412261
629,15.674,0.0414778
630,15.6495,0.0417304
631,15.625,0.042025
632,15.6006,0.0422797
633,15.5763,0.0425353
634,15.5521,0.042792
635,15.528,0.0430496
636,15.5039,0.0433082
637,15.4799,0.0435678
638,15.456,0.0438702
639,15.4321,0.0441319
640,15.4083,0.0443946
641,15.3846,0.0446583
642,15.361,0.0449229
643,15.3374,0.0451886
644,15.3139,0.0454978
645,15.2905,0.0457656
646,15.2672,0.0460344
647,15.2439,0.0463042
648,15.2207,0.0465749
649,15.1976,0.04689
650,15.1745,0.0471629
651,15.1515,0.0474368
652,15.1286,0.0477118
653,15.1057,0.0480315
654,15.083,0.0483086
655,15.0602,0.0485867
656,15.0376,0.0488659
657,15.015,0.0491904
658,14.9925,0.0494717
659,14.9701,0.049754
660,14.9477,0.0500373
661,14.9254,0.0503666
662,14.9031,0.0506521
663,14.881,0.0509387
664,14.8588,0.0512263
665,14.8368,0.0515603
666,14.8148,0.0518501
667,14.7929,0.052141
668,14.771,0.0524787
669,14.7493,0.0527717
670,14.7275,0.0530658
671,14.7059,0.0534072
