wavelength;reflectance;direct_transmittance;diffuse_transmittance
0.4;3.5090362;0.0;0.2837971
0.401;3.4580219;0.0;0.2776878
0.402;3.5245668;0.0;0.3400076
0.403;3.5125472;0.0;0.3283481
0.404;3.4624491;0.0;0.2875929
0.405;3.4657278;0.0;0.3005343
0.406;3.5145161;0.0;0.347784
0.407;3.5441658;0.0;0.3840403
0.408;3.5256899;0.0;0.3946573
0.409;3.5226087;0.0;0.449102
0.41;3.4875697;0.0;0.4424354
0.411;3.4516355;0.0;0.4046318
0.412;3.5266504;0.0;0.4971364
0.413;3.5432976;0.0;0.5488159
0.414;3.5146116;0.0;0.5503144
0.415;3.5088535;0.0;0.5464507
0.416;3.5149957;0.0;0.5859921
0.417;3.5266176;0.0;0.6289911
0.418;3.5437452;0.0;0.6513395
0.419;3.5962174;0.0;0.7201472
0.42;3.6075984;0.0;0.7647865
0.421;3.5813907;0.0;0.7774941
0.422;3.6292573;0.0;0.8361318
0.423;3.6365799;0.0;0.8426515
0.424;3.6173926;0.0;0.831681
0.425;3.6350382;0.0;0.8879397
0.426;3.6383065;0.0;0.9209732
0.427;3.6401291;0.0;0.943662
0.428;3.6555172;0.0;0.9782618
0.429;3.6599334;0.0;1.007279
0.43;3.6669867;0.0;1.0207969
0.431;3.6758398;0.0;1.0208708
0.432;3.6486973;0.0;1.0250198
0.433;3.6670816;0.0;1.0648311
0.434;3.7110351;0.0;1.1154294
0.435;3.6943811;0.0;1.1125664
0.436;3.6802919;0.0;1.1259342
0.437;3.6794879;0.0;1.1500047
0.438;3.6872116;0.0;1.1633396
0.439;3.6821079;0.0;1.1706944
0.44;3.6910854;0.0;1.2002044
0.441;3.7216378;0.0;1.2577236
0.442;3.7212869;0.0;1.2896313
0.443;3.7152728;0.0;1.3180034
0.444;3.7100792;0.0;1.3516636
0.445;3.6927014;0.0;1.3878119
0.446;3.6965485;0.0;1.4227861
0.447;3.7073786;0.0;1.4590294
0.448;3.6964404;0.0;1.5024667
0.449;3.7148617;0.0;1.5690832
0.45;3.7341154;0.0;1.6285374
0.451;3.7296908;0.0;1.6623016
0.452;3.7432783;0.0;1.7278183
0.453;3.7617413;0.0;1.7910022
0.454;3.7733961;0.0;1.8335898
0.455;3.7673471;0.0;1.8628621
0.456;3.7704894;0.0;1.9001532
0.457;3.7823821;0.0;1.9407759
0.458;3.7859066;0.0;1.9631765
0.459;3.7754687;0.0;1.9761018
0.46;3.7661854;0.0;1.9872229
0.461;3.7733211;0.0;2.0032201
0.462;3.7727491;0.0;2.0223201
0.463;3.772104;0.0;2.0431703
0.464;3.7773175;0.0;2.0632211
0.465;3.7853596;0.0;2.0776508
0.466;3.7812346;0.0;2.0836732
0.467;3.7650726;0.0;2.0807166
0.468;3.7519518;0.0;2.0692875
0.469;3.7563188;0.0;2.0748983
0.47;3.7688775;0.0;2.0958862
0.471;3.7703104;0.0;2.1184794
0.472;3.7641432;0.0;2.1367529
0.473;3.7549491;0.0;2.1470078
0.474;3.7489147;0.0;2.1503404
0.475;3.755599;0.0;2.1595224
0.476;3.7740846;0.0;2.1843286
0.477;3.7932187;0.0;2.2200165
0.478;3.7806925;0.0;2.2370635
0.479;3.7696128;0.0;2.2463641
0.48;3.7662748;0.0;2.2534067
0.481;3.7618534;0.0;2.2625765
0.482;3.7694982;0.0;2.2858618
0.483;3.7813747;0.0;2.3139896
0.484;3.7845647;0.0;2.3331121
0.485;3.7717027;0.0;2.3422387
0.486;3.770698;0.0;2.3659256
0.487;3.7911459;0.0;2.4123272
0.488;3.7845759;0.0;2.4401856
0.489;3.772841;0.0;2.4626107
0.49;3.7708093;0.0;2.4936735
0.491;3.789727;0.0;2.5528723
0.492;3.7994345;0.0;2.6064865
0.493;3.804232;0.0;2.6618106
0.494;3.8229684;0.0;2.7422726
0.495;3.8449391;0.0;2.8212431
0.496;3.8594492;0.0;2.9037472
0.497;3.8640816;0.0;2.9994395
0.498;3.8965105;0.0;3.1125971
0.499;3.922152;0.0;3.2236153
0.5;3.9273189;0.0;3.3292795
0.501;3.9440237;0.0;3.459041
0.502;3.9773981;0.0;3.6133529
0.503;4.0197649;0.0;3.7848126
0.504;4.0502173;0.0;3.957189
0.505;4.0960008;0.0;4.1439347
0.506;4.1486383;0.0;4.3475667
0.507;4.191743;0.0;4.566991
0.508;4.2511587;0.0;4.7972292
0.509;4.3226214;0.0;5.0524759
0.51;4.3992227;0.0;5.33838
0.511;4.4794359;0.0;5.6243764
0.512;4.5709179;0.0;5.9231498
0.513;4.6774527;0.0;6.2431525
0.514;4.7984987;0.0;6.5887563
0.515;4.9277716;0.0;6.9461664
0.516;5.0623721;0.0;7.3142398
0.517;5.2018234;0.0;7.6993381
0.518;5.3679523;0.0;8.0984537
0.519;5.5529499;0.0;8.5119222
0.52;5.7427507;0.0;8.938413
0.521;5.941177;0.0;9.3645037
0.522;6.1490386;0.0;9.7886064
0.523;6.3642873;0.0;10.2092854
0.524;6.5785626;0.0;10.6232187
0.525;6.7928291;0.0;11.0253067
0.526;7.0060385;0.0;11.4111971
0.527;7.2148757;0.0;11.7766256
0.528;7.4237943;0.0;12.1347643
0.529;7.6236284;0.0;12.4723629
0.53;7.8000046;0.0;12.7655398
0.531;7.9730374;0.0;13.0456252
0.532;8.1399153;0.0;13.3108789
0.533;8.2936182;0.0;13.5531319
0.534;8.4323769;0.0;13.7691565
0.535;8.5526498;0.0;13.9586553
0.536;8.6563436;0.0;14.1263111
0.537;8.75715;0.0;14.2879753
0.538;8.8480212;0.0;14.4295497
0.539;8.9252935;0.0;14.5483803
0.54;8.9867048;0.0;14.6507537
0.541;9.0448547;0.0;14.7444321
0.542;9.100947;0.0;14.8326158
0.543;9.1517196;0.0;14.9160424
0.544;9.1943923;0.0;14.9891182
0.545;9.2400009;0.0;15.0642191
0.546;9.2954466;0.0;15.1497534
0.547;9.3431221;0.0;15.2283311
0.548;9.3869356;0.0;15.2998181
0.549;9.4277215;0.0;15.364423
0.55;9.4582551;0.0;15.421006
0.551;9.4868951;0.0;15.4736644
0.552;9.5119968;0.0;15.5187085
0.553;9.5246341;0.0;15.5462716
0.554;9.519379;0.0;15.5518998
0.555;9.5014039;0.0;15.5395291
0.556;9.4782804;0.0;15.5146976
0.557;9.4411997;0.0;15.4654466
0.558;9.3890051;0.0;15.398233
0.559;9.3225637;0.0;15.3184064
0.56;9.2447185;0.0;15.2182474
0.561;9.1587609;0.0;15.105064
0.562;9.0667573;0.0;14.9833062
0.563;8.969615;0.0;14.8538474
0.564;8.8651249;0.0;14.7135501
0.565;8.7514336;0.0;14.5589297
0.566;8.626831;0.0;14.3861162
0.567;8.4962718;0.0;14.203626
0.568;8.3615852;0.0;14.0086665
0.569;8.222358;0.0;13.7968986
0.57;8.0669849;0.0;13.5730424
0.571;7.914888;0.0;13.3487784
0.572;7.7767167;0.0;13.1294629
0.573;7.6285042;0.0;12.899058
0.574;7.4829231;0.0;12.671091
0.575;7.347239;0.0;12.4545901
0.576;7.2222188;0.0;12.2532542
0.577;7.1082993;0.0;12.0652924
0.578;7.0035852;0.0;11.8869317
0.579;6.9045403;0.0;11.71298
0.58;6.8116519;0.0;11.5521285
0.581;6.7238325;0.0;11.4012238
0.582;6.6399622;0.0;11.2554876
0.583;6.5603755;0.0;11.1181765
0.584;6.4869572;0.0;10.9884116
0.585;6.4199055;0.0;10.8653212
0.586;6.3549557;0.0;10.7486489
0.587;6.2991662;0.0;10.6426942
0.588;6.2491586;0.0;10.5452913
0.589;6.1898312;0.0;10.4471539
0.59;6.1417874;0.0;10.3619485
0.591;6.1035402;0.0;10.287187
0.592;6.0650392;0.0;10.2142147
0.593;6.029789;0.0;10.1480291
0.594;5.9985975;0.0;10.0899545
0.595;5.9717035;0.0;10.0401716
0.596;5.9485653;0.0;9.9971568
0.597;5.9269812;0.0;9.9565523
0.598;5.9048256;0.0;9.915307
0.599;5.8792943;0.0;9.872279
0.6;5.856285;0.0;9.8320987
0.601;5.8355656;0.0;9.7921211
0.602;5.8117804;0.0;9.7431707
0.603;5.7831977;0.0;9.6864204
0.604;5.7524532;0.0;9.6240165
0.605;5.7230439;0.0;9.5581842
0.606;5.6855482;0.0;9.4829121
0.607;5.6425042;0.0;9.3974148
0.608;5.5974701;0.0;9.3025552
0.609;5.5494646;0.0;9.2003199
0.61;5.5011388;0.0;9.0975962
0.611;5.4544421;0.0;8.9967619
0.612;5.4118042;0.0;8.8931609
0.613;5.358525;0.0;8.7821485
0.614;5.3020731;0.0;8.6695343
0.615;5.2655499;0.0;8.5694382
0.616;5.2290371;0.0;8.4727914
0.617;5.1882027;0.0;8.3759767
0.618;5.1447854;0.0;8.2785881
0.619;5.1126712;0.0;8.1936086
0.62;5.0855598;0.0;8.117523
0.621;5.0569316;0.0;8.0456993
0.622;5.0257361;0.0;7.9750986
0.623;5.0018316;0.0;7.9160235
0.624;4.9875393;0.0;7.8719349
0.625;4.9751296;0.0;7.8374805
0.626;4.9706115;0.0;7.8137885
0.627;4.9668235;0.0;7.7959496
0.628;4.9513504;0.0;7.7765806
0.629;4.9438091;0.0;7.7634767
0.63;4.9392091;0.0;7.7535678
0.631;4.9301938;0.0;7.7418406
0.632;4.9262029;0.0;7.7269789
0.633;4.918042;0.0;7.7023633
0.634;4.901258;0.0;7.6637543
0.635;4.884473;0.0;7.6127822
0.636;4.8569526;0.0;7.5406219
0.637;4.8202738;0.0;7.4478483
0.638;4.7876422;0.0;7.3437546
0.639;4.7451371;0.0;7.2215255
0.64;4.6980811;0.0;7.0852371
0.641;4.6574341;0.0;6.9422157
0.642;4.6120388;0.0;6.7885536
0.643;4.563613;0.0;6.6284805
0.644;4.5154266;0.0;6.4656129
0.645;4.4690875;0.0;6.2971412
0.646;4.4203906;0.0;6.1263786
0.647;4.3710759;0.0;5.9589054
0.648;4.3341194;0.0;5.8041415
0.649;4.3053631;0.0;5.6666285
0.65;4.2821882;0.0;5.5485205
0.651;4.2619713;0.0;5.4497889
0.652;4.2467041;0.0;5.3651809
0.653;4.2345582;0.0;5.2900108
0.654;4.2229696;0.0;5.2195917
0.655;4.2125466;0.0;5.1497168
0.656;4.2019996;0.0;5.0740028
0.657;4.1898328;0.0;4.9863055
0.658;4.1737988;0.0;4.8802652
0.659;4.1582169;0.0;4.7591895
0.66;4.143251;0.0;4.6245028
0.661;4.1232976;0.0;4.4744507
0.662;4.1065758;0.0;4.3225494
0.663;4.0919154;0.0;4.168553
0.664;4.0744817;0.0;4.0065623
0.665;4.0662018;0.0;3.8542904
0.666;4.0646888;0.0;3.7107141
0.667;4.0660805;0.0;3.5736741
0.668;4.0759756;0.0;3.4564518
0.669;4.0874028;0.0;3.3508337
0.67;4.0993408;0.0;3.2529985
0.671;4.1249013;0.0;3.1732041
0.672;4.1530221;0.0;3.1079142
0.673;4.1830466;0.0;3.0569259
0.674;4.2219726;0.0;3.02363
0.675;4.2640973;0.0;3.0002822
0.676;4.3098972;0.0;2.985581
0.677;4.3613024;0.0;2.9807856
0.678;4.4143139;0.0;2.9878337
0.679;4.4741133;0.0;3.0105148
0.68;4.5435769;0.0;3.0529646
0.681;4.6154999;0.0;3.1185795
0.682;4.6864288;0.0;3.2134243
0.683;4.7566771;0.0;3.3455631
0.684;4.8315969;0.0;3.5258517
0.685;4.9101911;0.0;3.7591257
0.686;4.9904729;0.0;4.05176
0.687;5.0701295;0.0;4.4106938
0.688;5.1587092;0.0;4.8450615
0.689;5.2662237;0.0;5.3619569
0.69;5.4026982;0.0;5.966085
0.691;5.5741777;0.0;6.6543893
0.692;5.7957875;0.0;7.4310087
0.693;6.0787093;0.0;8.294595
0.694;6.4262525;0.0;9.2342306
0.695;6.843225;0.0;10.2386091
0.696;7.3306474;0.0;11.297175
0.697;7.8855375;0.0;12.3985407
0.698;8.5076722;0.0;13.5279052
0.699;9.1903425;0.0;14.6767229
0.7;9.9228393;0.0;15.8363782
0.701;10.692976;0.0;16.9893541
0.702;11.4924248;0.0;18.1253228
