wavelength;reflectance;direct_transmittance;diffuse_transmittance
0.4;6.46838443333333;0.0;6.1950575
0.401;6.49447235;0.0;6.20594118333333
0.402;6.60047026666667;0.0;6.29559898333333
0.403;6.6086122;0.0;6.2864651
0.404;6.5732958;0.0;6.25366455
0.405;6.595656;0.0;6.3104112
0.406;6.62101141666667;0.0;6.3271181
0.407;6.64010093333333;0.0;6.3366787
0.408;6.66218158333333;0.0;6.371273
0.409;6.74443963333333;0.0;6.4383615
0.41;6.76308918333333;0.0;6.44398121666667
0.411;6.72853481666667;0.0;6.40478951666667
0.412;6.77815735;0.0;6.44366221666667
0.413;6.79782611666667;0.0;6.45908261666667
0.414;6.80547558333333;0.0;6.46617126666667
0.415;6.84978508333333;0.0;6.50661483333333
0.416;6.85895773333333;0.0;6.51076068333333
0.417;6.8589848;0.0;6.50942866666667
0.418;6.87547486666667;0.0;6.52799056666667
0.419;6.8945277;0.0;6.53485285
0.42;6.92162846666667;0.0;6.55376666666667
0.421;6.95016728333333;0.0;6.58321005
0.422;6.95783438333333;0.0;6.59003358333333
0.423;6.94760593333333;0.0;6.58131488333333
0.424;6.93329741666667;0.0;6.56839526666667
0.425;6.93377363333333;0.0;6.56621808333333
0.426;6.93835046666667;0.0;6.58200445
0.427;6.94208005;0.0;6.59241645
0.428;6.94222495;0.0;6.58033503333333
0.429;6.9395841;0.0;6.57391438333333
0.43;6.9439187;0.0;6.57985645
0.431;6.95479316666667;0.0;6.59179025
0.432;6.95349511666667;0.0;6.58119346666667
0.433;6.95031985;0.0;6.5694978
0.434;6.95070165;0.0;6.56648046666667
0.435;6.95802096666667;0.0;6.57618761666667
0.436;6.95955996666667;0.0;6.57776868333333
0.437;6.95602606666667;0.0;6.57412385
0.438;6.95200365;0.0;6.57344413333333
0.439;6.95069888333333;0.0;6.57227576666667
0.44;6.95381501666667;0.0;6.57457603333333
0.441;6.95900255;0.0;6.58048926666667
0.442;6.95446921666667;0.0;6.57869276666667
0.443;6.94372148333333;0.0;6.57719391666667
0.444;6.93744748333333;0.0;6.58315568333333
0.445;6.95728076666667;0.0;6.60529685
0.446;6.96634015;0.0;6.61910088333333
0.447;6.96210473333333;0.0;6.62209456666667
0.448;6.95621681666667;0.0;6.62168933333333
0.449;6.96106713333333;0.0;6.63072108333333
0.45;6.9668608;0.0;6.64589091666667
0.451;6.96481965;0.0;6.6611448
0.452;6.96548715;0.0;6.67274635
0.453;6.96633753333333;0.0;6.68082858333333
0.454;6.96828745;0.0;6.68829751666667
0.455;6.98092218333333;0.0;6.70380041666667
0.456;6.98532416666667;0.0;6.71677865
0.457;6.98035826666667;0.0;6.72420031666667
0.458;6.97557348333333;0.0;6.72711751666667
0.459;6.9742058;0.0;6.72890638333333
0.46;6.97509163333333;0.0;6.73361388333333
0.461;6.97504805;0.0;6.74288498333333
0.462;6.96950886666667;0.0;6.74402578333333
0.463;6.9595484;0.0;6.74151411666667
0.464;6.9501297;0.0;6.74022263333333
0.465;6.9566974;0.0;6.74260385
0.466;6.95707193333333;0.0;6.74279503333333
0.467;6.94971291666667;0.0;6.74214886666667
0.468;6.95465756666667;0.0;6.750215
0.469;6.9519116;0.0;6.7522959
0.47;6.94392401666667;0.0;6.74936465
0.471;6.94107656666667;0.0;6.7483348
0.472;6.9397017;0.0;6.74800835
0.473;6.93769553333333;0.0;6.74900215
0.474;6.93335571666667;0.0;6.7513257
0.475;6.9246403;0.0;6.7515022
0.476;6.92157761666667;0.0;6.75566421666667
0.477;6.92664211666667;0.0;6.76521035
0.478;6.92948591666667;0.0;6.77341875
0.479;6.93217663333333;0.0;6.78089993333333
0.48;6.93456013333333;0.0;6.78798478333333
0.481;6.93560815;0.0;6.79524138333333
0.482;6.93293638333333;0.0;6.800757
0.483;6.93003016666667;0.0;6.8020661
0.484;6.93086851666667;0.0;6.79893991666667
0.485;6.93014663333333;0.0;6.80668646666667
0.486;6.93013625;0.0;6.81547886666667
0.487;6.93270295;0.0;6.8192666
0.488;6.93712056666667;0.0;6.82900828333333
0.489;6.93960238333333;0.0;6.84069273333333
0.49;6.94246645;0.0;6.85428568333333
0.491;6.95607798333333;0.0;6.87447431666667
0.492;6.97109638333333;0.0;6.89774583333333
0.493;6.98498141666667;0.0;6.92267746666667
0.494;6.99768756666667;0.0;6.9484184
0.495;7.00683646666667;0.0;6.97209125
0.496;7.01566046666667;0.0;6.99711998333333
0.497;7.02840613333333;0.0;7.02824898333333
0.498;7.0476178;0.0;7.0700268
