wavelength;reflectance;direct_transmittance;diffuse_transmittance
0.4;4.84955496190476;0.0;2.78081925263158
0.401;4.88021825238095;0.0;2.79743282631579
0.402;4.88950188571429;0.0;2.79944066315789
0.403;4.92254955714286;0.0;2.81711477894737
0.404;4.95944448571429;0.0;2.83379180526316
0.405;4.9712569047619;0.0;2.82814713157895
0.406;4.98990687142857;0.0;2.83567938421053
0.407;5.01796799047619;0.0;2.85349355789474
0.408;5.05189596666667;0.0;2.87272072105263
0.409;5.07991269047619;0.0;2.8766755
0.41;5.12046152380952;0.0;2.89469090526316
0.411;5.16845301904762;0.0;2.92392976315789
0.412;5.19519203333333;0.0;2.93061413157895
0.413;5.24228488571429;0.0;2.95227005789474
0.414;5.29279736190476;0.0;2.97578898421053
0.415;5.31722445238095;0.0;2.97694427368421
0.416;5.3625597047619;0.0;2.98990314210526
0.417;5.40651637142857;0.0;3.01069502105263
0.418;5.43281985238095;0.0;3.03082124736842
0.419;5.46987768571429;0.0;3.0430217
0.42;5.51013127142857;0.0;3.06088227368421
0.421;5.54750182380952;0.0;3.08625617894737
0.422;5.5771693;0.0;3.10754471052632
0.423;5.6116900952381;0.0;3.12311367368421
0.424;5.64428156666667;0.0;3.13432193157895
0.425;5.66163245238095;0.0;3.14434162105263
0.426;5.68887702380952;0.0;3.14919259473684
0.427;5.71725294761905;0.0;3.16080065263158
0.428;5.73566627142857;0.0;3.18560956315789
0.429;5.74747189047619;0.0;3.19835758947368
0.43;5.76320578571429;0.0;3.20499657368421
0.431;5.78346699047619;0.0;3.21037725789474
0.432;5.78989137142857;0.0;3.21430146315789
0.433;5.80528001428571;0.0;3.22623511052632
0.434;5.82684146666667;0.0;3.24040372631579
0.435;5.83605022857143;0.0;3.24097055789474
0.436;5.84021659047619;0.0;3.24510051578947
0.437;5.84333203333333;0.0;3.25260096842105
0.438;5.84843117619048;0.0;3.25860670526316
0.439;5.85491453333333;0.0;3.25693087368421
0.44;5.86266108095238;0.0;3.26020122631579
0.441;5.87130792857143;0.0;3.27312881052632
0.442;5.8797773047619;0.0;3.27696224210526
0.443;5.88981463809524;0.0;3.28232576842105
0.444;5.90263198571429;0.0;3.29225736315789
0.445;5.91995945238095;0.0;3.30332021052632
0.446;5.9237702952381;0.0;3.30515070526316
0.447;5.92376919047619;0.0;3.30271451578947
0.448;5.93912318571429;0.0;3.30697219473684
0.449;5.95429375714286;0.0;3.31514714736842
0.45;5.96502229047619;0.0;3.32229702105263
0.451;5.97197136666667;0.0;3.32544985789474
0.452;5.98778388571429;0.0;3.33069289473684
0.453;6.00162316190476;0.0;3.33681031578947
0.454;6.00979786666667;0.0;3.34272413157895
0.455;6.02144065238095;0.0;3.34762681578947
0.456;6.03210755714286;0.0;3.3539271
0.457;6.03858272857143;0.0;3.36047788947368
0.458;6.03793820952381;0.0;3.36393485789474
0.459;6.04078364761905;0.0;3.36668437368421
0.46;6.04449108095238;0.0;3.36977115789474
0.461;6.04400006190476;0.0;3.37344722105263
0.462;6.04273034285714;0.0;3.37519041578947
0.463;6.04134627619048;0.0;3.37568143157895
0.464;6.03939829047619;0.0;3.3752748
0.465;6.03387083809524;0.0;3.37198606315789
0.466;6.02799139523809;0.0;3.37124443684211
0.467;6.02514181904762;0.0;3.37423356315789
0.468;6.0298514;0.0;3.37807944210526
0.469;6.03078792380952;0.0;3.3801606
0.47;6.02828285238095;0.0;3.38077097894737
0.471;6.02698003809524;0.0;3.38139166315789
0.472;6.02282591904762;0.0;3.37946042631579
0.473;6.02038123809524;0.0;3.37939368947368
0.474;6.02246614761905;0.0;3.38362124210526
0.475;6.0195707952381;0.0;3.38194711578947
0.476;6.01877914285714;0.0;3.38382378421053
0.477;6.0224902047619;0.0;3.39134014736842
0.478;6.02438940476191;0.0;3.39290242631579
0.479;6.02784124761905;0.0;3.39508752631579
0.48;6.03090133333333;0.0;3.39760819473684
