wavelength;reflectance;direct_transmittance;diffuse_transmittance
0.4;3.62338127142857;0.0;0.190007214285714
0.401;3.61598348571429;0.0;0.174736857142857
0.402;3.6036815;0.0;0.176246571428571
0.403;3.59119001428571;0.0;0.176340842857143
0.404;3.60121;0.0;0.199499985714286
0.405;3.63440922857143;0.0;0.250878142857143
0.406;3.63212147142857;0.0;0.232464314285714
0.407;3.61918362857143;0.0;0.211072171428571
0.408;3.617345;0.0;0.2316978
0.409;3.5886522;0.0;0.223421428571429
0.41;3.58154931428571;0.0;0.227447214285714
0.411;3.59974297142857;0.0;0.254778857142857
0.412;3.60858891428571;0.0;0.297145885714286
0.413;3.6275418;0.0;0.329554842857143
0.414;3.64734295714286;0.0;0.352904814285714
0.415;3.65044168571429;0.0;0.378201357142857
0.416;3.63257217142857;0.0;0.381682042857143
0.417;3.6155798;0.0;0.380369085714286
0.418;3.6185442;0.0;0.392099757142857
0.419;3.62751907142857;0.0;0.433146628571429
0.42;3.6402626;0.0;0.471084542857143
0.421;3.65049392857143;0.0;0.495931385714286
0.422;3.66046095714286;0.0;0.5352845
0.423;3.65450161428571;0.0;0.552712571428571
0.424;3.64440162857143;0.0;0.561548942857143
0.425;3.65322645714286;0.0;0.598548071428571
0.426;3.6569315;0.0;0.631594342857143
0.427;3.66853988571429;0.0;0.666990685714286
0.428;3.69289905714286;0.0;0.7040335
0.429;3.69223931428571;0.0;0.727387585714286
0.43;3.68584495714286;0.0;0.7445849
0.431;3.6850275;0.0;0.762719942857143
0.432;3.68621;0.0;0.793701614285714
0.433;3.68863961428571;0.0;0.819131528571429
0.434;3.69268934285714;0.0;0.839236328571429
0.435;3.6911179;0.0;0.856613285714286
0.436;3.69522442857143;0.0;0.886516642857143
0.437;3.70034368571429;0.0;0.921149814285714
0.438;3.70184548571429;0.0;0.949572614285714
0.439;3.70355802857143;0.0;0.967420285714286
0.44;3.70646001428571;0.0;0.985405614285714
0.441;3.70954792857143;0.0;1.010862
0.442;3.70614634285714;0.0;1.03954187142857
0.443;3.70671422857143;0.0;1.06667587142857
0.444;3.71297844285714;0.0;1.09423375714286
0.445;3.71789274285714;0.0;1.13381825714286
0.446;3.71770824285714;0.0;1.16692261428571
0.447;3.71765445714286;0.0;1.19926974285714
0.448;3.72505294285714;0.0;1.24168071428571
0.449;3.72489135714286;0.0;1.2756244
0.45;3.72425847142857;0.0;1.30695708571429
0.451;3.7293626;0.0;1.34406474285714
0.452;3.72646502857143;0.0;1.3801654
0.453;3.72384512857143;0.0;1.41599728571429
0.454;3.72594445714286;0.0;1.45022255714286
0.455;3.73995531428571;0.0;1.47948825714286
0.456;3.7449209;0.0;1.507799
0.457;3.74102041428571;0.0;1.53340104285714
0.458;3.7415801;0.0;1.55438727142857
0.459;3.74578368571429;0.0;1.57618557142857
0.46;3.75000592857143;0.0;1.59652588571429
0.461;3.74882095714286;0.0;1.60825242857143
0.462;3.74889362857143;0.0;1.61967924285714
0.463;3.74796422857143;0.0;1.62792627142857
0.464;3.74663615714286;0.0;1.63377228571429
0.465;3.7517889;0.0;1.64615268571429
0.466;3.74908275714286;0.0;1.65467608571429
0.467;3.73837058571429;0.0;1.65760928571429
0.468;3.73952061428571;0.0;1.6626492
0.469;3.73680561428571;0.0;1.66837908571429
0.47;3.73148087142857;0.0;1.67385782857143
0.471;3.72716861428571;0.0;1.67499665714286
0.472;3.73086962857143;0.0;1.68472652857143
0.473;3.73240785714286;0.0;1.69591258571429
0.474;3.72580808571429;0.0;1.70415604285714
0.475;3.72560757142857;0.0;1.70983901428571
0.476;3.72677765714286;0.0;1.71878252857143
0.477;3.72671364285714;0.0;1.73211494285714
0.478;3.71671434285714;0.0;1.7385876
0.479;3.71319332857143;0.0;1.74685331428571
0.48;3.71633678571429;0.0;1.75945431428571
0.481;3.7197842;0.0;1.77641194285714
0.482;3.71913601428571;0.0;1.78610595714286
0.483;3.71582688571429;0.0;1.79349172857143
0.484;3.71276772857143;0.0;1.80758898571429
0.485;3.71268675714286;0.0;1.81822794285714
0.486;3.71413002857143;0.0;1.83212912857143
0.487;3.71643952857143;0.0;1.85371131428571
0.488;3.71924042857143;0.0;1.87650731428571
0.489;3.7215875;0.0;1.89949682857143
0.49;3.72377337142857;0.0;1.92527342857143
0.491;3.72606411428571;0.0;1.95904527142857
0.492;3.72836227142857;0.0;1.99390035714286
0.493;3.73270438571429;0.0;2.03049032857143
0.494;3.74372037142857;0.0;2.07615557142857
0.495;3.75133734285714;0.0;2.12451578571429
0.496;3.7604875;0.0;2.17646724285714
0.497;3.77591921428571;0.0;2.23424348571429
0.498;3.78055252857143;0.0;2.29531515714286
0.499;3.78652131428571;0.0;2.35985514285714
0.5;3.79911444285714;0.0;2.42910825714286
0.501;3.81950622857143;0.0;2.51411634285714
0.502;3.83635175714286;0.0;2.60244631428571
0.503;3.85124045714286;0.0;2.69382178571429
0.504;3.87301498571429;0.0;2.79686131428571
0.505;3.89819654285714;0.0;2.90876447142857
0.506;3.9255423;0.0;3.02989728571429
0.507;3.95643215714286;0.0;3.16349481428571
0.508;3.9895092;0.0;3.30878231428571
0.509;4.02730618571429;0.0;3.46647678571429
0.51;4.07120708571429;0.0;3.63765402857143
0.511;4.12030094285714;0.0;3.82089924285714
0.512;4.17523895714286;0.0;4.01696985714286
0.513;4.23606137142857;0.0;4.22739522857143
0.514;4.31129958571429;0.0;4.46141684285714
0.515;4.38993997142857;0.0;4.70514134285714
0.516;4.47389674285714;0.0;4.95942118571429
0.517;4.56759301428571;0.0;5.23105477142857
0.518;4.67174695714286;0.0;5.51342975714286
0.519;4.78543598571429;0.0;5.80746828571429
0.52;4.9095966;0.0;6.11758875714286
0.521;5.04179535714286;0.0;6.43312852857143
0.522;5.17829634285714;0.0;6.74953762857143
0.523;5.3173732;0.0;7.06470774285714
0.524;5.46495552857143;0.0;7.38094567142857
0.525;5.61133624285714;0.0;7.68775431428571
0.526;5.75402684285714;0.0;7.98246497142857
0.527;5.8931892;0.0;8.26475065714286
0.528;6.03149897142857;0.0;8.53431494285714
0.529;6.16469902857143;0.0;8.78834795714286
0.53;6.28414902857143;0.0;9.02064824285714
0.531;6.39469702857143;0.0;9.23263564285714
0.532;6.49847255714286;0.0;9.42708928571428
0.533;6.5959378;0.0;9.60467494285714
0.534;6.68080367142857;0.0;9.76105385714286
0.535;6.75638045714286;0.0;9.90242691428571
0.536;6.82414644285714;0.0;10.0308982714286
0.537;6.88550634285714;0.0;10.1433828857143
0.538;6.93782947142857;0.0;10.2416703571429
0.539;6.98065587142857;0.0;10.3257603857143
0.54;7.01234891428571;0.0;10.3944120142857
0.541;7.04537967142857;0.0;10.461776
0.542;7.07764055714286;0.0;10.5258386714286
0.543;7.10378954285714;0.0;10.5806667714286
0.544;7.12983311428571;0.0;10.6353680571429
0.545;7.15589992857143;0.0;10.6905621428571
