wavelength;reflectance;direct_transmittance;diffuse_transmittance
0.4;3.7643092;0.0;0.4086542
0.401;3.7550077;0.0;0.42131305
0.402;3.7545493;0.0;0.45142065
0.403;3.7485088;0.0;0.47028045
0.404;3.7489202;0.0;0.47266585
0.405;3.7669448;0.0;0.4632443
0.406;3.75816265;0.0;0.4535664
0.407;3.75454235;0.0;0.46860615
0.408;3.7748433;0.0;0.5070427
0.409;3.7981724;0.0;0.50625695
0.41;3.78688325;0.0;0.49249615
0.411;3.75376655;0.0;0.48594115
0.412;3.7595637;0.0;0.50492595
0.413;3.7779962;0.0;0.5277873
0.414;3.78328005;0.0;0.53622735
0.415;3.7570478;0.0;0.5209782
0.416;3.7680282;0.0;0.5515108
0.417;3.7750161;0.0;0.56660215
0.418;3.7580148;0.0;0.53994
0.419;3.81367735;0.0;0.60860405
0.42;3.83402535;0.0;0.6492572
0.421;3.80480695;0.0;0.6384878
0.422;3.832252;0.0;0.6817475
0.423;3.84634885;0.0;0.69838515
0.424;3.83819175;0.0;0.68980725
0.425;3.82286135;0.0;0.6897359
0.426;3.8241193;0.0;0.70515295
0.427;3.84078265;0.0;0.728699
0.428;3.8629342;0.0;0.75054275
0.429;3.86896495;0.0;0.76484625
0.43;3.8732592;0.0;0.78450955
0.431;3.87930705;0.0;0.8094129
0.432;3.8645061;0.0;0.8126065
0.433;3.8706432;0.0;0.82550095
0.434;3.89077795;0.0;0.8462681
0.435;3.88649135;0.0;0.8523957
0.436;3.89457445;0.0;0.860527
0.437;3.90069705;0.0;0.87320505
0.438;3.88608455;0.0;0.88885605
0.439;3.8918438;0.0;0.9016426
0.44;3.910621;0.0;0.9230203
0.441;3.92554845;0.0;0.9528223
0.442;3.9024289;0.0;0.9542542
0.443;3.88943335;0.0;0.96331365
0.444;3.90255265;0.0;0.99620325
0.445;3.9286006;0.0;1.0533465
0.446;3.9355386;0.0;1.0934966
0.447;3.932402;0.0;1.12146875
0.448;3.94300985;0.0;1.1589083
0.449;3.93794135;0.0;1.1802972
0.45;3.92715175;0.0;1.2038452
0.451;3.92432885;0.0;1.24602305
0.452;3.9323408;0.0;1.29171515
0.453;3.945933;0.0;1.33267765
0.454;3.95934935;0.0;1.3680193
0.455;3.9658545;0.0;1.41042095
0.456;3.9642854;0.0;1.4368311
0.457;3.96290585;0.0;1.45472575
0.458;3.97639765;0.0;1.4899687
0.459;3.97756025;0.0;1.51168715
0.46;3.97013105;0.0;1.52399825
0.461;3.9659403;0.0;1.53785275
0.462;3.9730163;0.0;1.54690285
0.463;3.9794372;0.0;1.55816875
0.464;3.97766095;0.0;1.5733013
0.465;3.97432365;0.0;1.57745145
0.466;3.9738106;0.0;1.5824659
0.467;3.9760086;0.0;1.5921051
0.468;3.976306;0.0;1.6031674
0.469;3.9666993;0.0;1.60169295
0.47;3.9566241;0.0;1.5992113
0.471;3.96146655;0.0;1.6155478
0.472;3.9695761;0.0;1.6284774
0.473;3.9729859;0.0;1.64141075
0.474;3.96730095;0.0;1.6569611
0.475;3.9575323;0.0;1.65528085
0.476;3.95159895;0.0;1.6623489
0.477;3.95173815;0.0;1.68596925
0.478;3.9517157;0.0;1.70284775
0.479;3.9474381;0.0;1.7105549
0.48;3.93980075;0.0;1.7155109
0.481;3.93359335;0.0;1.731809
0.482;3.9412045;0.0;1.75392835
0.483;3.9503385;0.0;1.7751913
0.484;3.94639075;0.0;1.79062235
0.485;3.9532669;0.0;1.81247035
0.486;3.95384;0.0;1.83158575
0.487;3.942182;0.0;1.8454641
0.488;3.9549155;0.0;1.87561735
0.489;3.96505275;0.0;1.9086141
0.49;3.96408785;0.0;1.94008325
0.491;3.9627459;0.0;1.9747033
0.492;3.97142025;0.0;2.02001425
0.493;3.9823944;0.0;2.07185155
0.494;3.98048355;0.0;2.1210723
0.495;3.98809075;0.0;2.17664275
0.496;4.0051235;0.0;2.24491255
0.497;4.0257454;0.0;2.3274494
0.498;4.0405318;0.0;2.4076164
0.499;4.0526;0.0;2.4924072
0.5;4.0673031;0.0;2.5895464
0.501;4.09412855;0.0;2.7074539
0.502;4.1242672;0.0;2.83437005
0.503;4.15283505;0.0;2.96597055
0.504;4.1767139;0.0;3.1026122
0.505;4.21586635;0.0;3.26398065
0.506;4.2645341;0.0;3.4435282
0.507;4.3102331;0.0;3.6278887
0.508;4.3673784;0.0;3.8325835
0.509;4.4337374;0.0;4.0556662
0.51;4.50617375;0.0;4.2937869
0.511;4.58613225;0.0;4.5472294
0.512;4.675631;0.0;4.81914055
0.513;4.77945965;0.0;5.11095915
0.514;4.90961075;0.0;5.42256835
0.515;5.043999;0.0;5.7446961
0.516;5.18777395;0.0;6.0805403
0.517;5.3617618;0.0;6.44088985
0.518;5.54974445;0.0;6.81486275
0.519;5.744946;0.0;7.19565615
0.52;5.94469005;0.0;7.5784736
0.521;6.1573629;0.0;7.96616445
0.522;6.3872473;0.0;8.3587501
0.523;6.63122305;0.0;8.75257825
0.524;6.86935855;0.0;9.13726665
0.525;7.1103578;0.0;9.5111535
0.526;7.35318955;0.0;9.87119035
0.527;7.5862788;0.0;10.21391295
0.528;7.8090408;0.0;10.5327224
0.529;8.0214071;0.0;10.8293152
0.53;8.2239778;0.0;11.10946635
0.531;8.4076506;0.0;11.3640319
0.532;8.5765264;0.0;11.59600415
0.533;8.73564965;0.0;11.809719
0.534;8.88060075;0.0;12.00351125
0.535;9.0084576;0.0;12.1762305
0.536;9.1187273;0.0;12.32789455
0.537;9.21491865;0.0;12.45979745
0.538;9.301478;0.0;12.57988895
0.539;9.37678295;0.0;12.68798085
0.54;9.4325035;0.0;12.77566045
0.541;9.4845133;0.0;12.85445135
0.542;9.535094;0.0;12.9287249
0.543;9.5819008;0.0;13.0006341
0.544;9.63038005;0.0;13.0747868
0.545;9.67617335;0.0;13.1455638
0.546;9.7163081;0.0;13.20904195
0.547;9.760002;0.0;13.2751451
