wavelength;reflectance;direct_transmittance;diffuse_transmittance
0.4;4.658378;0.0;1.834081
0.401;4.6143208;0.0;1.8516744
0.402;4.728447;0.0;1.8896004
0.403;4.7200274;0.0;1.8949694
0.404;4.6616536;0.0;1.8871368
0.405;4.6859294;0.0;1.8916845
0.406;4.6319672;0.0;1.8150777
0.407;4.6146634;0.0;1.7728705
0.408;4.6899876;0.0;1.8239142
0.409;4.733253;0.0;1.866677
0.41;4.7127169;0.0;1.874619
0.411;4.6551483;0.0;1.8376576
0.412;4.6436851;0.0;1.7524359
0.413;4.6945535;0.0;1.8046138
0.414;4.7444557;0.0;1.8783546
0.415;4.7112563;0.0;1.7883088
0.416;4.6266199;0.0;1.7341433
0.417;4.5921486;0.0;1.7344456
0.418;4.6461739;0.0;1.7635425
0.419;4.6254993;0.0;1.7438686
0.42;4.5685575;0.0;1.7092
0.421;4.5210425;0.0;1.6830304
0.422;4.5439328;0.0;1.6738644
0.423;4.5799931;0.0;1.7202472
0.424;4.6054359;0.0;1.7738029
0.425;4.6082797;0.0;1.7520646
0.426;4.576968;0.0;1.7126665
0.427;4.5488338;0.0;1.6868096
0.428;4.556902;0.0;1.6913411
0.429;4.5947002;0.0;1.7178202
0.43;4.5780266;0.0;1.6996457
0.431;4.5035777;0.0;1.6363833
0.432;4.512627;0.0;1.6461557
0.433;4.5229798;0.0;1.655512
0.434;4.5197607;0.0;1.65775
0.435;4.5236917;0.0;1.6827479
0.436;4.4830921;0.0;1.645386
0.437;4.443349;0.0;1.6084741
0.438;4.4586556;0.0;1.6492189
0.439;4.4663382;0.0;1.6686422
0.44;4.4552668;0.0;1.6796559
0.441;4.4330795;0.0;1.6957096
0.442;4.4450361;0.0;1.7040467
0.443;4.4336753;0.0;1.7042636
0.444;4.4004478;0.0;1.7095202
0.445;4.4088106;0.0;1.7507039
0.446;4.4205941;0.0;1.7915274
0.447;4.4254037;0.0;1.8210591
0.448;4.4214827;0.0;1.8404628
0.449;4.4023022;0.0;1.882189
0.45;4.4009573;0.0;1.9357661
0.451;4.4321857;0.0;1.9843659
0.452;4.4189818;0.0;2.0165703
0.453;4.396284;0.0;2.0477514
0.454;4.3816236;0.0;2.0827541
0.455;4.3573758;0.0;2.1073502
0.456;4.3464006;0.0;2.1325077
0.457;4.3501486;0.0;2.160866
0.458;4.3572147;0.0;2.1904912
0.459;4.3623016;0.0;2.2077385
0.46;4.360519;0.0;2.2109875
0.461;4.3491035;0.0;2.205939
0.462;4.3304136;0.0;2.2191834
0.463;4.3236118;0.0;2.2310268
0.464;4.32955;0.0;2.2257909
0.465;4.2968984;0.0;2.2021177
0.466;4.276307;0.0;2.1999783
0.467;4.280307;0.0;2.2209611
0.468;4.2854218;0.0;2.2266144
0.469;4.2847467;0.0;2.2385656
0.47;4.2698296;0.0;2.2396953
0.471;4.2364724;0.0;2.2058823
0.472;4.2195999;0.0;2.2092796
0.473;4.2269146;0.0;2.2337565
0.474;4.249912;0.0;2.2523059
0.475;4.241057;0.0;2.2593294
0.476;4.22437;0.0;2.2625803
0.477;4.2156213;0.0;2.2691406
0.478;4.2154833;0.0;2.2850095
0.479;4.212424;0.0;2.3099576
0.48;4.2002363;0.0;2.3314113
0.481;4.1761542;0.0;2.3279554
0.482;4.1890999;0.0;2.3528326
0.483;4.206002;0.0;2.3828075
0.484;4.1832097;0.0;2.3833515
0.485;4.1761673;0.0;2.3981467
0.486;4.1720138;0.0;2.4160556
0.487;4.1616932;0.0;2.4311395
0.488;4.1660871;0.0;2.4670841
0.489;4.1746221;0.0;2.5118462
0.49;4.181115;0.0;2.562498
0.491;4.1839431;0.0;2.6276809
0.492;4.175652;0.0;2.6818421
0.493;4.166526;0.0;2.7355292
0.494;4.1747605;0.0;2.8144625
0.495;4.197066;0.0;2.9020464
0.496;4.2077552;0.0;2.9901118
0.497;4.1911815;0.0;3.0784887
0.498;4.1948963;0.0;3.1932916
0.499;4.2152611;0.0;3.3378514
0.5;4.2412283;0.0;3.5054057
0.501;4.2492756;0.0;3.6688848
0.502;4.2756937;0.0;3.8629323
0.503;4.3183149;0.0;4.0890194
0.504;4.3443594;0.0;4.3233513
0.505;4.3610935;0.0;4.5682532
0.506;4.3887597;0.0;4.8418706
0.507;4.4484223;0.0;5.1638543
0.508;4.5112739;0.0;5.50509
0.509;4.5715974;0.0;5.8681635
0.51;4.6335952;0.0;6.2611456
0.511;4.7226402;0.0;6.6982728
0.512;4.8261384;0.0;7.1622212
0.513;4.9352223;0.0;7.6437602
0.514;5.044022;0.0;8.1451847
0.515;5.1786311;0.0;8.6794641
0.516;5.3341438;0.0;9.2399889
0.517;5.487521;0.0;9.8089345
0.518;5.6515371;0.0;10.3893551
0.519;5.823033;0.0;10.9787543
