Id,wavelength,reflectance,direct_transmittance,diffuse_transmittance
1,0.369,0.28183,0.0,0.0033858
2,0.37,0.56807,0.0,-0.00066504
3,0.371,0.85364,0.0,-0.021664
4,0.372,1.0222,0.0,-0.20508
5,0.373,1.2606,0.0,-0.22756
6,0.374,1.5042,0.0,-0.14781
7,0.375,1.6972,0.0,-0.04396
8,0.376,1.85,0.0,-0.028375
9,0.377,1.9656,0.0,0.075604
10,0.378,2.0061,0.0,0.23108
11,0.379,2.0445,0.0,0.31673
12,0.38,2.1104,0.0,0.67841
13,0.381,2.1129,0.0,0.73223
14,0.382,2.115,0.0,0.64385
15,0.383,2.186,0.0,0.69222
16,0.384,2.2475,0.0,0.70537
17,0.385,2.2209,0.0,0.56505
18,0.386,2.1181,0.0,0.34548
19,0.387,2.1779,0.0,0.38624
20,0.388,2.2377,0.0,0.43733
21,0.389,2.2698,0.0,0.4269
22,0.39,2.3376,0.0,0.41646
23,0.391,2.411,0.0,0.48933
24,0.392,2.4545,0.0,0.48944
25,0.393,2.5191,0.0,0.53681
26,0.394,2.5827,0.0,0.69878
27,0.395,2.6113,0.0,0.80721
28,0.396,2.6212,0.0,0.86175
29,0.397,2.6283,0.0,0.88092
30,0.398,2.6416,0.0,0.86325
31,0.399,2.6584,0.0,0.85087
32,0.4,2.6448,0.0,0.78644
33,0.401,2.6617,0.0,0.71457
34,0.402,2.666,0.0,0.61751
35,0.403,2.6477,0.0,0.53353
36,0.404,2.6269,0.0,0.47069
37,0.405,2.5873,0.0,0.35822
38,0.406,2.5579,0.0,0.27479
39,0.407,2.5887,0.0,0.33839
40,0.408,2.5766,0.0,0.33248
41,0.409,2.5485,0.0,0.30203
42,0.41,2.5566,0.0,0.33095
43,0.411,2.5803,0.0,0.37814
44,0.412,2.6171,0.0,0.44986
45,0.413,2.6725,0.0,0.52215
46,0.414,2.6996,0.0,0.51891
47,0.415,2.7289,0.0,0.51989
48,0.416,2.7558,0.0,0.54823
49,0.417,2.7572,0.0,0.54728
50,0.418,2.7472,0.0,0.52635
51,0.419,2.7446,0.0,0.52402
52,0.42,2.7519,0.0,0.53853
53,0.421,2.7644,0.0,0.54379
54,0.422,2.7578,0.0,0.51762
55,0.423,2.7554,0.0,0.52117
56,0.424,2.7762,0.0,0.56542
57,0.425,2.7861,0.0,0.58653
58,0.426,2.7949,0.0,0.58826
59,0.427,2.8223,0.0,0.58902
60,0.428,2.8406,0.0,0.59532
61,0.429,2.8561,0.0,0.61711
62,0.43,2.8612,0.0,0.62535
63,0.431,2.8545,0.0,0.5987
64,0.432,2.8634,0.0,0.61248
65,0.433,2.8832,0.0,0.64635
66,0.434,2.9019,0.0,0.6752
67,0.435,2.9155,0.0,0.68697
68,0.436,2.9359,0.0,0.71999
69,0.437,2.9536,0.0,0.7721
70,0.438,2.9697,0.0,0.81745
71,0.439,2.9809,0.0,0.85306
72,0.44,2.9854,0.0,0.86697
73,0.441,2.9886,0.0,0.86139
74,0.442,2.9858,0.0,0.85484
75,0.443,2.9806,0.0,0.85844
76,0.444,2.9666,0.0,0.84431
77,0.445,2.9525,0.0,0.82952
78,0.446,2.9426,0.0,0.81527
79,0.447,2.9426,0.0,0.80871
80,0.448,2.9487,0.0,0.8139
81,0.449,2.9585,0.0,0.82486
82,0.45,2.9666,0.0,0.83239
83,0.451,2.9703,0.0,0.84368
84,0.452,2.9869,0.0,0.87996
85,0.453,3.0093,0.0,0.92465
86,0.454,3.0255,0.0,0.94356
87,0.455,3.0323,0.0,0.94179
88,0.456,3.037,0.0,0.94423
89,0.457,3.049,0.0,0.96671
90,0.458,3.0556,0.0,0.97227
91,0.459,3.0575,0.0,0.96737
92,0.46,3.0571,0.0,0.96103
93,0.461,3.0579,0.0,0.95623
94,0.462,3.0565,0.0,0.95028
95,0.463,3.0551,0.0,0.94798
96,0.464,3.0527,0.0,0.94335
97,0.465,3.0528,0.0,0.95142
98,0.466,3.0548,0.0,0.96992
99,0.467,3.0639,0.0,0.99225
100,0.468,3.0732,0.0,1.0042
101,0.469,3.0813,0.0,1.0144
102,0.47,3.089,0.0,1.0215
103,0.471,3.1028,0.0,1.0373
104,0.472,3.114,0.0,1.0472
105,0.473,3.123,0.0,1.0558
106,0.474,3.1244,0.0,1.0568
107,0.475,3.1276,0.0,1.0593
108,0.476,3.1413,0.0,1.0765
109,0.477,3.1511,0.0,1.0868
110,0.478,3.1519,0.0,1.0848
111,0.479,3.1459,0.0,1.0809
112,0.48,3.1443,0.0,1.085
