Id,wavelength,reflectance,direct_transmittance,diffuse_transmittance
1,0.369,1.1326,0.0,-0.18508
2,0.37,1.7307,0.0,-0.26486
3,0.371,2.3649,0.0,-0.29152
4,0.372,2.8993,0.0,-0.49111
5,0.373,3.4862,0.0,-0.43375
6,0.374,4.0458,0.0,-0.23462
7,0.375,4.4865,0.0,-0.016588
8,0.376,4.6831,0.0,0.095656
9,0.377,4.746,0.0,0.36983
10,0.378,4.619,0.0,0.75804
11,0.379,4.7643,0.0,1.0613
12,0.38,4.8961,0.0,1.35
13,0.381,4.9472,0.0,1.4235
14,0.382,4.9414,0.0,1.3574
15,0.383,4.9256,0.0,1.2866
16,0.384,4.9533,0.0,1.3368
17,0.385,4.9172,0.0,1.2581
18,0.386,4.8323,0.0,1.0796
19,0.387,4.9106,0.0,1.2526
20,0.388,4.9786,0.0,1.3838
21,0.389,4.9712,0.0,1.3648
22,0.39,4.9681,0.0,1.3993
23,0.391,5.0697,0.0,1.6195
24,0.392,5.1463,0.0,1.7672
25,0.393,5.2001,0.0,1.8758
26,0.394,5.2606,0.0,2.0128
27,0.395,5.3063,0.0,2.1158
28,0.396,5.3633,0.0,2.2285
29,0.397,5.4027,0.0,2.307
30,0.398,5.4295,0.0,2.3562
31,0.399,5.464,0.0,2.4099
32,0.4,5.4421,0.0,2.3463
33,0.401,5.42,0.0,2.2614
34,0.402,5.3709,0.0,2.1195
35,0.403,5.3068,0.0,1.9754
36,0.404,5.2745,0.0,1.9014
37,0.405,5.2254,0.0,1.7806
38,0.406,5.1982,0.0,1.7044
39,0.407,5.2227,0.0,1.758
40,0.408,5.2059,0.0,1.727
41,0.409,5.1864,0.0,1.6798
42,0.41,5.2078,0.0,1.7174
43,0.411,5.2309,0.0,1.7664
44,0.412,5.272,0.0,1.8434
45,0.413,5.3088,0.0,1.9005
46,0.414,5.2896,0.0,1.8453
47,0.415,5.2884,0.0,1.8181
48,0.416,5.2998,0.0,1.821
49,0.417,5.2922,0.0,1.8179
50,0.418,5.2734,0.0,1.781
51,0.419,5.2699,0.0,1.7682
52,0.42,5.2802,0.0,1.7897
53,0.421,5.2768,0.0,1.7931
54,0.422,5.2555,0.0,1.7554
55,0.423,5.2413,0.0,1.7315
56,0.424,5.2518,0.0,1.7596
57,0.425,5.2579,0.0,1.7778
58,0.426,5.2551,0.0,1.7809
59,0.427,5.2536,0.0,1.7809
60,0.428,5.2563,0.0,1.7879
61,0.429,5.2625,0.0,1.8004
62,0.43,5.2547,0.0,1.7896
63,0.431,5.2364,0.0,1.7712
64,0.432,5.2369,0.0,1.7798
65,0.433,5.2487,0.0,1.8015
66,0.434,5.2569,0.0,1.8241
67,0.435,5.256,0.0,1.8307
68,0.436,5.2603,0.0,1.8465
69,0.437,5.2724,0.0,1.8772
70,0.438,5.2912,0.0,1.9141
71,0.439,5.3079,0.0,1.9489
72,0.44,5.3141,0.0,1.9649
73,0.441,5.3138,0.0,1.9667
74,0.442,5.3098,0.0,1.9634
75,0.443,5.3046,0.0,1.9577
76,0.444,5.288,0.0,1.9303
77,0.445,5.2813,0.0,1.9222
78,0.446,5.2837,0.0,1.9305
79,0.447,5.2911,0.0,1.9429
80,0.448,5.301,0.0,1.9668
81,0.449,5.3136,0.0,2.0004
82,0.45,5.3268,0.0,2.0426
83,0.451,5.3444,0.0,2.0941
84,0.452,5.3756,0.0,2.1675
85,0.453,5.4122,0.0,2.2509
86,0.454,5.436,0.0,2.3107
87,0.455,5.4461,0.0,2.3463
88,0.456,5.4499,0.0,2.3683
89,0.457,5.4632,0.0,2.4081
90,0.458,5.4704,0.0,2.4344
91,0.459,5.4744,0.0,2.4529
92,0.46,5.477,0.0,2.4673
93,0.461,5.4737,0.0,2.4654
94,0.462,5.4674,0.0,2.4591
95,0.463,5.4646,0.0,2.4599
96,0.464,5.46,0.0,2.4621
97,0.465,5.4578,0.0,2.4661
98,0.466,5.4572,0.0,2.4743
99,0.467,5.4617,0.0,2.4918
100,0.468,5.4613,0.0,2.4985
101,0.469,5.4569,0.0,2.4965
102,0.47,5.4494,0.0,2.49
103,0.471,5.4561,0.0,2.5087
104,0.472,5.4633,0.0,2.5244
105,0.473,5.4681,0.0,2.5373
106,0.474,5.4688,0.0,2.544
107,0.475,5.468,0.0,2.5467
108,0.476,5.4738,0.0,2.5594
109,0.477,5.4848,0.0,2.5844
110,0.478,5.4884,0.0,2.6011
111,0.479,5.485,0.0,2.606
112,0.48,5.4782,0.0,2.6009
113,0.481,5.4758,0.0,2.6031
114,0.482,5.4717,0.0,2.6046
115,0.483,5.4619,0.0,2.5973
116,0.484,5.456,0.0,2.5958
117,0.485,5.4625,0.0,2.6123
118,0.486,5.4724,0.0,2.6334
119,0.487,5.4816,0.0,2.6583
120,0.488,5.4896,0.0,2.6798
121,0.489,5.5017,0.0,2.7063
122,0.49,5.5274,0.0,2.757
123,0.491,5.553,0.0,2.8094
124,0.492,5.5716,0.0,2.8498
125,0.493,5.5858,0.0,2.8853
126,0.494,5.6014,0.0,2.9253
127,0.495,5.6219,0.0,2.9807
128,0.496,5.6442,0.0,3.0429
129,0.497,5.6671,0.0,3.1082
130,0.498,5.699,0.0,3.1917
131,0.499,5.7364,0.0,3.2891
132,0.5,5.7749,0.0,3.3924
133,0.501,5.8171,0.0,3.511
134,0.502,5.8642,0.0,3.6438
135,0.503,5.9241,0.0,3.8039
136,0.504,5.9965,0.0,3.9969
137,0.505,6.0681,0.0,4.2002
138,0.506,6.1412,0.0,4.4176
139,0.507,6.2195,0.0,4.6589
140,0.508,6.3049,0.0,4.927
141,0.509,6.3975,0.0,5.2225
142,0.51,6.4934,0.0,5.5374
143,0.511,6.5947,0.0,5.8791
144,0.512,6.7039,0.0,6.2547
145,0.513,6.8257,0.0,6.668
146,0.514,6.9527,0.0,7.1044
147,0.515,7.0869,0.0,7.5676
148,0.516,7.2336,0.0,8.0632
149,0.517,7.3994,0.0,8.6021
150,0.518,7.5752,0.0,9.1705
151,0.519,7.7546,0.0,9.7531
152,0.52,7.9426,0.0,10.3526
