Id,wavelength,reflectance,direct_transmittance,diffuse_transmittance
1,0.35,3.508,0.0,3.139
2,0.351,3.506,0.0,3.137
3,0.352,3.505,0.0,3.135
4,0.353,3.503,0.0,3.133
5,0.354,3.501,0.0,3.13
6,0.355,3.5,0.0,3.128
7,0.356,3.498,0.0,3.126
8,0.357,3.496,0.0,3.123
9,0.358,3.495,0.0,3.121
10,0.359,3.493,0.0,3.119
11,0.36,3.491,0.0,3.117
12,0.361,3.49,0.0,3.114
13,0.362,3.488,0.0,3.112
14,0.363,3.486,0.0,3.11
15,0.364,3.484,0.0,3.108
16,0.365,3.483,0.0,3.105
17,0.366,3.481,0.0,3.103
18,0.367,3.479,0.0,3.101
19,0.368,3.478,0.0,3.099
20,0.369,3.476,0.0,3.096
21,0.37,3.474,0.0,3.094
22,0.371,3.473,0.0,3.092
23,0.372,3.471,0.0,3.09
24,0.373,3.469,0.0,3.087
25,0.374,3.468,0.0,3.085
26,0.375,3.466,0.0,3.083
27,0.376,3.464,0.0,3.08
28,0.377,3.462,0.0,3.078
29,0.378,3.461,0.0,3.076
30,0.379,3.459,0.0,3.074
31,0.38,3.457,0.0,3.071
32,0.381,3.456,0.0,3.069
33,0.382,3.454,0.0,3.067
34,0.383,3.452,0.0,3.065
35,0.384,3.451,0.0,3.062
36,0.385,3.449,0.0,3.06
37,0.386,3.447,0.0,3.058
38,0.387,3.446,0.0,3.056
39,0.388,3.444,0.0,3.053
40,0.389,3.442,0.0,3.051
41,0.39,3.441,0.0,3.049
42,0.391,3.439,0.0,3.047
43,0.392,3.437,0.0,3.044
44,0.393,3.435,0.0,3.042
45,0.394,3.434,0.0,3.04
46,0.395,3.432,0.0,3.038
47,0.396,3.43,0.0,3.035
48,0.397,3.429,0.0,3.033
49,0.398,3.427,0.0,3.031
50,0.399,3.425,0.0,3.028
51,0.4,3.424,0.0,3.026
52,0.401,3.422,0.0,3.024
53,0.402,3.42,0.0,3.022
54,0.403,3.419,0.0,3.019
55,0.404,3.417,0.0,3.017
56,0.405,3.415,0.0,3.015
57,0.406,3.413,0.0,3.013
58,0.407,3.412,0.0,3.01
59,0.408,3.41,0.0,3.008
60,0.409,3.408,0.0,3.006
61,0.41,3.407,0.0,3.004
62,0.411,3.405,0.0,3.001
63,0.412,3.403,0.0,2.999
64,0.413,3.402,0.0,2.997
65,0.414,3.4,0.0,2.995
66,0.415,3.398,0.0,2.992
67,0.416,3.397,0.0,2.99
68,0.417,3.395,0.0,2.988
69,0.418,3.393,0.0,2.985
70,0.419,3.391,0.0,2.983
71,0.42,3.39,0.0,2.981
72,0.421,3.388,0.0,2.979
