Id,wavelength,reflectance,direct_transmittance,diffuse_transmittance
1,0.302,4.948,0.0,3.6621
2,0.304,4.961,0.0,3.6719
3,0.306,4.973,0.0,3.6807
4,0.308,4.986,0.0,3.6904
5,0.31,4.998,0.0,3.6992
6,0.312,5.011,0.0,3.709
7,0.314,5.023,0.0,3.7178
8,0.316,5.036,0.0,3.7276
9,0.318,5.048,0.0,3.7364
10,0.32,5.061,0.0,3.7461
11,0.322,5.073,0.0,3.7549
12,0.324,5.086,0.0,3.7647
13,0.326,5.098,0.0,3.7735
14,0.328,5.111,0.0,3.7832
15,0.33,5.123,0.0,3.792
16,0.332,5.136,0.0,3.8018
17,0.334,5.148,0.0,3.8106
18,0.336,5.161,0.0,3.8204
19,0.338,5.173,0.0,3.8292
20,0.34,5.186,0.0,3.8389
21,0.342,5.198,0.0,3.8477
22,0.344,5.211,0.0,3.8575
23,0.346,5.223,0.0,3.8663
24,0.348,5.236,0.0,3.8761
25,0.35,5.248,0.0,3.8848
26,0.352,5.261,0.0,3.8936
27,0.354,5.273,0.0,3.9034
28,0.356,5.286,0.0,3.9122
29,0.358,5.298,0.0,3.922
30,0.36,5.311,0.0,3.9307
31,0.362,5.323,0.0,3.9395
32,0.364,5.336,0.0,3.9493
33,0.366,5.348,0.0,3.9581
34,0.368,5.361,0.0,3.9679
35,0.37,5.373,0.0,3.9767
36,0.372,5.386,0.0,3.9864
37,0.374,5.398,0.0,3.9952
38,0.376,5.411,0.0,4.005
39,0.378,5.423,0.0,4.0138
40,0.38,5.436,0.0,4.0235
41,0.382,5.448,0.0,4.0323
42,0.384,5.461,0.0,4.0421
43,0.386,5.473,0.0,4.0509
44,0.388,5.486,0.0,4.0607
45,0.39,5.498,0.0,4.0695
46,0.392,5.511,0.0,4.0792
47,0.394,5.523,0.0,4.088
48,0.396,5.536,0.0,4.0978
49,0.398,5.548,0.0,4.1066
50,0.4,5.561,0.0,4.1163
51,0.402,5.573,0.0,4.1251
52,0.404,5.585,0.0,4.1339
53,0.406,5.598,0.0,4.1437
54,0.408,5.609,0.0,4.1515
55,0.41,5.621,0.0,4.1603
56,0.412,5.634,0.0,4.1701
57,0.414,5.645,0.0,4.1779
58,0.416,5.658,0.0,4.1876
59,0.418,5.669,0.0,4.1964
60,0.42,5.682,0.0,4.2052
61,0.422,5.694,0.0,4.215
62,0.424,5.706,0.0,4.2238
63,0.426,5.718,0.0,4.2326
64,0.428,5.729,0.0,4.2404
65,0.43,5.742,0.0,4.2502
66,0.432,5.754,0.0,4.259
67,0.434,5.766,0.0,4.2678
68,0.436,5.778,0.0,4.2765
69,0.438,5.79,0.0,4.2853
70,0.44,5.802,0.0,4.2941
71,0.442,5.814,0.0,4.3029
72,0.444,5.826,0.0,4.3127
73,0.446,5.838,0.0,4.3215
74,0.448,5.85,0.0,4.3303
75,0.45,5.862,0.0,4.3391
76,0.452,5.874,0.0,4.3479
77,0.454,5.886,0.0,4.3566
78,0.456,5.899,0.0,4.3664
