Id,wavelength,reflectance,direct_transmittance,diffuse_transmittance
1,0.4,4.09981669813541,0.0,0.0284610844683531
2,0.401,4.10360792370289,0.0,0.0255841754133964
3,0.402,4.10611564746602,0.0,0.0229402733129413
4,0.403,4.11123618714661,0.0,0.0207115248365581
5,0.404,4.12027060190665,0.0,0.0189836058228172
6,0.405,4.12932947044185,0.0,0.0178874403598002
7,0.406,4.1397062848268,0.0,0.017257011207368
8,0.407,4.15139221604663,0.0,0.0167107335665108
9,0.408,4.16569108725433,0.0,0.0162438876984678
10,0.409,4.17870464601254,0.0,0.0159906017122961
11,0.41,4.18911744743896,0.0,0.0156058028630605
12,0.411,4.19822889097406,0.0,0.01508715821984
13,0.412,4.21126201928594,0.0,0.0146780682206085
14,0.413,4.2256181520796,0.0,0.0145727977151909
15,0.414,4.24260192964906,0.0,0.0145637701534582
16,0.415,4.25698582177266,0.0,0.01458750070336
17,0.416,4.27269298550096,0.0,0.0147266895416163
18,0.417,4.28710399000297,0.0,0.0148981787659055
19,0.418,4.30152875000313,0.0,0.0151701372190116
20,0.419,4.31727447741167,0.0,0.0153547781264033
21,0.42,4.3330295616524,0.0,0.015402390944267
22,0.421,4.34616299370447,0.0,0.015231092183758
23,0.422,4.36193666730762,0.0,0.0150898679054457
24,0.423,4.37772400403419,0.0,0.0149794602069945
25,0.424,4.39484696084806,0.0,0.0150674480057884
26,0.425,4.41330420505672,0.0,0.015177759057095
27,0.426,4.42781429947063,0.0,0.0151133661324215
28,0.427,4.43572974695513,0.0,0.0149455818454339
29,0.428,4.44497183512088,0.0,0.0148759384364318
30,0.429,4.45686260330619,0.0,0.0148535768818034
31,0.43,4.46611134438115,0.0,0.0146706623177696
32,0.431,4.47403869146105,0.0,0.0143825107642817
33,0.432,4.48461781384386,0.0,0.0141642037172026
34,0.433,4.49388186624192,0.0,0.0140780756438308
35,0.434,4.501826084574,0.0,0.0140139325265552
36,0.435,4.50845011736701,0.0,0.0140168233599188
37,0.436,4.51507633657151,0.0,0.0140216393136084
38,0.437,4.52038132388745,0.0,0.0141181562469622
39,0.438,4.52436382476936,0.0,0.0142966691034615
40,0.439,4.52834870587338,0.0,0.0145331522061505
41,0.44,4.53366617856884,0.0,0.0149574585875713
42,0.441,4.53899630106365,0.0,0.0157740795258017
43,0.442,4.54167995182335,0.0,0.0167940325837775
44,0.443,4.54436535646824,0.0,0.0178283753842408
45,0.444,4.54440453087211,0.0,0.019094961744245
46,0.445,4.54578210320392,0.0,0.0206563605234895
47,0.446,4.54318245220036,0.0,0.0223016628842509
48,0.447,4.54059176152518,0.0,0.0241309075742857
49,0.448,4.53802198953004,0.0,0.0264479291894476
50,0.449,4.53415087870049,0.0,0.0293090240419012
51,0.45,4.52897784550041,0.0,0.0326119117649336
52,0.451,4.52383047945059,0.0,0.0363122680818283
53,0.452,4.51739984423767,0.0,0.0407242126415048
54,0.453,4.51099643607246,0.0,0.0454228974146635
55,0.454,4.50328811399147,0.0,0.0502395687950434
56,0.455,4.49560764161833,0.0,0.0552981447671861
57,0.456,4.48662824983409,0.0,0.0605289957747192
58,0.457,4.47901574090613,0.0,0.0662136626942884
59,0.458,4.47140081696868,0.0,0.0715814950201357
60,0.459,4.46247539930943,0.0,0.0769037419199781
61,0.46,4.45487560472931,0.0,0.0820478059005033
62,0.461,4.44594570238367,0.0,0.086873569700764
63,0.462,4.43699602287175,0.0,0.091234526738994
64,0.463,4.42804562363007,0.0,0.0954341034887485
65,0.464,4.41912300195286,0.0,0.0998776708227597
66,0.465,4.41024933014366,0.0,0.104837320933904
67,0.466,4.40398251987765,0.0,0.109226940414087
68,0.467,4.39639357412201,0.0,0.113464549260594
69,0.468,4.39008390173801,0.0,0.117096814610199
70,0.469,4.38641468758919,0.0,0.120708354595236
71,0.47,4.38142203178027,0.0,0.124190892879446
72,0.471,4.37766973128993,0.0,0.126667089419353
73,0.472,4.37261492043161,0.0,0.129292595266349
74,0.473,4.36886717131484,0.0,0.131758628904595
75,0.474,4.36511775454891,0.0,0.134175096600559
76,0.475,4.36134917217282,0.0,0.136336211366604
77,0.476,4.35889314676832,0.0,0.138427537686526
78,0.477,4.3551939688373,0.0,0.141353980415323
79,0.478,4.35151271054693,0.0,0.144450948490082
80,0.479,4.34782504058291,0.0,0.147436066717683
81,0.48,4.34289646188691,0.0,0.151229164707705
82,0.481,4.33809751516713,0.0,0.156405956962288
83,0.482,4.33077649165385,0.0,0.162667247244161
84,0.483,4.32355734145725,0.0,0.169876941097082
85,0.484,4.31391170112814,0.0,0.179021523071457
86,0.485,4.30446408537301,0.0,0.189911686067603
87,0.486,4.29134217728903,0.0,0.203070700780028
88,0.487,4.27721187874802,0.0,0.218644974274028
89,0.488,4.26221595729291,0.0,0.23769594614092
90,0.489,4.24382679455394,0.0,0.260671061966679
91,0.49,4.2246710862325,0.0,0.28714313478108
92,0.491,4.20351848078921,0.0,0.31734275755965
93,0.492,4.18064126079829,0.0,0.352887372046033
94,0.493,4.15612452551785,0.0,0.393735742693319
95,0.494,4.13131915030436,0.0,0.43955703674923
